movie_id,genre_id,popularity
862,10751,21.946943
8844,10751,17.015539
15602,35,11.7129
31357,10749,3.859495
11862,35,8.387519
949,53,17.924927
11860,10749,6.677277
45325,10751,2.561161
9091,53,5.23158
710,53,14.686036
9087,10749,6.318445
12110,27,5.430331
21032,12,12.140733
10858,18,5.092
1408,12,7.284477
524,80,10.137389
4584,10749,10.673167
5,35,9.026586
9273,12,8.205448
11517,80,7.337906
8012,80,12.669608
1710,53,10.701801
9691,53,11.065939
12665,53,12.133094
451,10749,10.332025
16420,18,1.845899
9263,10751,8.681325
17015,10749,2.228434
902,12,9.822423
37557,80,1.100915
9909,80,9.481338
63,9648,12.297305
78802,12,0.745542
9598,10751,14.404764
47018,10749,1.493361
687,18,6.891317
139405,10751,0.114469
33689,10749,7.777735
9603,10749,9.882383
34615,18,0.894647
31174,10752,4.561387
11443,36,9.87957
35196,10749,10.979269
9312,14,10.870138
577,53,10.448481
11861,10749,4.485958
807,53,18.45743
10530,10751,13.280069
8391,10749,3.302524
629,53,16.302466
117164,18,0.595949
11448,10749,15.899134
49133,10769,1.361286
26441,10751,5.982764
97406,18,4.093443
9089,10749,8.416802
11010,10749,10.168437
99040,9648,0.120789
11359,14,10.673296
17182,53,4.733526
2054,10751,7.137117
10607,35,11.700115
19760,10749,2.174487
9536,35,6.387469
11525,878,2.49535
40628,10751,4.046208
4482,10749,2.518051
10634,35,14.56965
755,80,15.339153
11859,10749,5.912223
28387,10749,3.367276
48750,36,1.479446
20927,10749,10.412194
36929,10751,2.936443
9102,878,12.758848
124626,99,0.133893
27526,53,5.756462
9623,53,6.010579
46785,18,1.196256
400,80,4.486179
880,35,2.030174
146599,18,0.252287
8447,10749,2.15166
10534,18,9.568604
17414,10751,4.814825
13997,35,8.963037
2086,53,6.848591
61548,18,0.411424
9095,10749,12.866139
12158,10749,9.071127
9283,10749,4.670562
9208,53,14.957626
40154,35,0.513391
406,18,12.108196
45549,53,2.657647
63076,99,0.638211
11062,53,4.807223
13685,18,6.904831
47475,10749,3.329264
2045,53,2.464425
9614,35,9.592265
688,10749,5.951077
11907,10751,1.015068
10874,12,6.902423
89333,99,0.976707
96357,80,0.001346
197,10752,20.755149
103,18,14.092713
33542,53,12.314278
43566,53,2.938293
71754,18,0.372697
43612,35,1.254885
51352,10769,0.243986
16934,18,6.178497
10324,10749,2.891918
78406,18,1.522412
55731,10751,1.317878
32119,18,0.86539
11066,10749,6.506983
11104,10749,6.778979
37975,10749,1.702639
2074,10749,5.579088
27793,14,6.252377
44284,18,0.406754
110972,10749,0.699066
32622,18,2.197439
73067,10752,0.637554
11863,10749,11.418917
55475,10749,0.291021
124636,99,0.001838
9101,35,5.184977
123360,99,0.276401
5757,35,0.540436
39428,18,0.370342
9302,10749,3.402749
11000,35,6.49968
249882,18,0.918504
16388,10749,2.039196
9737,53,9.262184
30765,10751,2.375865
10474,80,7.415144
22279,35,0.922958
30157,53,1.759012
568,18,18.761467
11780,12,10.193549
34996,27,3.137285
414,14,13.321354
649,10749,10.142662
1873,53,2.04189
5894,35,11.528147
1775,35,5.391556
8839,10751,12.812539
20649,18,4.558992
10329,53,7.260574
8963,18,8.657365
26564,99,3.620388
8068,80,6.950458
8512,53,4.646132
1572,53,15.138855
13552,18,7.120806
259209,80,0.523575
6520,10749,15.178338
9073,12,7.575098
10428,18,14.810519
17447,10749,3.196456
9886,53,11.715868
9482,878,8.184815
19326,18,3.676921
9344,80,4.877872
9071,35,10.058329
8973,53,4.102409
15730,18,0.354014
47608,10749,2.624771
2293,35,8.25547
9070,14,7.024227
68274,10749,1.01115
48787,10769,2.466066
34574,53,7.720056
1642,28,13.304342
11472,35,8.482834
36196,35,1.165039
11980,53,10.187623
58372,18,0.119713
32646,18,8.180047
10533,10749,6.752119
56088,99,0.159596
10802,18,17.502375
10149,18,5.552946
18402,35,3.743212
9348,28,13.492845
139408,18,0.913522
281,53,11.223055
5967,10749,8.133881
79593,53,1.820419
47939,14,11.002046
36834,10749,4.546552
9090,35,7.653446
3512,53,7.490247
52856,10751,2.881689
77350,99,0.786023
9560,10749,9.715639
9804,28,16.885184
31611,18,1.834099
65796,37,8.922139
49805,18,3.727644
26258,10751,3.287036
50797,18,2.486073
19155,10752,3.525649
76,10749,11.304979
11017,35,6.638116
37141,53,2.761837
9382,18,3.030309
6715,10751,2.686342
18256,9648,2.26977
22625,10749,2.605521
2292,35,10.513367
1909,35,7.438934
8984,10749,11.812244
